model,rmse,mae,r2,fit_time,cv_rmse_mean,cv_rmse_std
rf_cyc_lags,6.348461010462972,0.873864287724043,0.06003473381020075,0.23810100555419922,2.4082725941512115,0.6540715024017458
rf_full,6.3482400882967855,0.8739090523823836,0.06010015298792115,0.2421579360961914,2.4088771716436606,0.654332096403192
rf_evt_lags,6.355431485909663,0.9359623752026681,0.057969476804125675,0.22082209587097168,2.458080024083814,0.6473076673613576
rf_base_lags,6.35383310315284,0.9412299892862386,0.05844325612313239,0.2259831428527832,2.4583614436865355,0.6450087390674485
xgb_full,6.362723441088905,1.0181983420734086,0.05580654416639608,0.2846200466156006,2.4939224080082356,0.8869783655394398
xgb_cyc_lags,6.366539559089787,1.0186531550939313,0.054673622330858485,0.3001089096069336,2.5013795950067967,0.8813215046714905
gbrt_base_lags,6.521536821869681,0.9840157196424781,0.008084232534026459,0.6359879970550537,2.5428968048981857,0.4817500149681212
lasso_full,6.521194131886363,0.9681106908764416,0.00818847503886544,0.0067026615142822266,2.5929631570112206,0.861098672596038
xgb_base_lags,6.380533335433133,1.0660753803685983,0.05051336408362295,0.28095102310180664,2.6107084850079083,0.9332968347325238
xgb_evt_lags,6.367511553435961,1.045548033498381,0.05438494995947718,0.2596158981323242,2.6211354072081576,0.9190523887572486
rf_cyc,6.5465971766191124,0.9952535437454355,0.0004463023222371909,0.20754194259643555,2.6255319267703325,1.0649160452159285
xgb_cyc,6.597467656763471,1.1412157747769602,-0.01514816058653845,0.29569196701049805,2.626232727082387,0.9917006971915685
ridge_full,6.801345856918971,0.9812223713777773,-0.07885880912044851,0.010879993438720703,2.629685258219631,0.7088666754000361
lr_full,6.803966838379927,0.9821402802493034,-0.07969047209878366,0.0072650909423828125,2.6312298495574558,0.7098929430284364
lr_cyc_lags,6.808604067105662,0.9810082813938014,-0.08116269498529483,0.007943153381347656,2.631875697061262,0.7108814678402253
lr_evt_lags,6.838519892659057,0.9630453580198785,-0.09068445038376405,0.003638029098510742,2.6414939937836666,0.7098219909034885
lr_base_lags,6.846135428051553,0.9665825096583109,-0.09311502633395641,0.016847848892211914,2.6439152053358104,0.7183785043432722
gbrt_evt_lags,6.508967992132923,0.9872130931471693,0.011903947677949556,0.6394600868225098,2.6762627502518628,0.36160446819447684
gbrt_cyc,6.813948073846805,1.2438152006177037,-0.08286054908854434,0.4212827682495117,2.8462535493616823,0.8899775810119994
gbrt_full,6.398119464631221,0.8635648920038943,0.04527217024043817,0.8670120239257812,2.8953971257384685,0.6407369069525644
gbrt_cyc_lags,6.395567689443242,0.8625604350100758,0.04603357051539525,0.8725030422210693,2.9040665674116797,0.6128647370457839
lr_cyc,6.519202872882008,1.1687292796566575,0.008794085625468684,0.025007009506225586,2.9502139464916457,1.1916207160266759
xgb_evt,6.536502653136893,1.0844557934832297,0.0035264488015976925,0.24064111709594727,2.9531014179394974,1.109440381878936
rf_evt,6.542540524759578,1.0976935932614715,0.0016846815746683896,0.2508871555328369,2.953935350078001,1.0988540960722246
gbrt_evt,6.543876277965319,1.1033336418485034,0.00127699926571756,0.18420195579528809,2.9573673259375894,1.0972801870360094
xgb_base,6.539962416849456,1.1527996564889786,0.0024713049084077454,0.23858928680419922,2.9790002900464945,1.1511963318382783
rf_base,6.540345052453175,1.14239902726274,0.0023545760540283345,0.2140491008758545,2.97923548131586,1.1490188774482293
gbrt_base,6.54101859952714,1.1444727792404554,0.002149083606400315,0.1607532501220703,2.9794102227922763,1.1493440854364068
lr_evt,6.534997668520143,1.1655460654279532,0.003985258290384763,0.009727954864501953,3.0306448449492045,1.1863076654752231
lr_base,6.5327542960926825,1.1888793976017202,0.00466897650965159,2.35852313041687,3.037306346278342,1.190174404134992
